,comment,reference,is_related
1461,"вот это охуенная тема тут и помидорки, и томатный сок, полностью натуральный продукт.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1462,"долбоеб, блядь, сыр невкусный потому что сено портится, ахуеть вообще. ты с какой, блядь, планеты.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1463,"не отмазывайтесь, дмитрий александрович.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1464,в советской россии свиньи дают тебе.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1465,"мань, допустимая литературная форма давно. по морфологическим признакам кофе слово среднего рода и не ебет. мужской род это атавизм, возникший от слова кофей. ","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1466,покупаешь красную цену лупишь макарошки с хлебом ездишь на автобусе,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1467,"отпарировал тебе за щку, проверяй.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1468,пропанол тоже можно пить. только пьянеешь от него в раз быстрее.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1469,"попробуй питаться консервами месяц, и месяц свежим мясом. потом расскажешь о разнице. тоже и с сеном.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1470,"дальше по кд хлеб относительно норм, видно что дешвый, но съедобный, на вкус не земля. макароны съедобны, если ты совок и помнишь серые . ","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1471,поясните за днищемакарохи за двадцать рублей из пятрочек ашанов. говно или неотличимо от какойнибудь макфы.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1472,"вот сукеа, про чай повеселили, сейчас подтянутся те, кто считает что молотый кофе или зерновой говно без задач, а вот цикорий просто топчик.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1473,фасоль самая охуенная у ленты. правда стоит она уже не особо нещебродски.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1474,за прокладки уже кто-нибудь пояснил.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1475,вопрос знатокам. какая по качеству алкашка каждый день. не боялись не проснуться на след. день.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1476,сосулька с с смотрит на тебя как на говно,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1477,"покупаю натуральное масло у фермеров. чуть дороже, зато гарантия, что без маргарина.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1478,"не ну а чо. сено лежит уже почти год, откуда у коровы хорошее молоко.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1479,"пилишь тред про как развести тян на секс в пердачелло, а то обычный уже заебал","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1480,"один хуй, обсуждать где дешевле купить макарохи сидя на двоче через новый самсунг. это по-нашему.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1481,"не боялись не проснуться на след. день. нет, она же каждый день","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1482,"колбаски делает то же самое атяшево, что рядом лежит","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1483,"хуита, тебе просто ещ не повезло с ветками пожевать это.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1484,"изопропиловый спирт обычно либо в аптеках возможно, либо там где радиодеталями торгуют находил. я лично его использовал для экстрагирования миристицина из мускатных орехов.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1485,"а я делаю дома макарошки с жареным луком. пиздец, вкусно, если обжарить одну крупную мелко нарезанную луковицу на сливочном масле спреде до золотого и гуще, а потом с макаронами тврдой проварки с солью.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1486,"макфы может разве что чуть-чуть лучше, но не более. макарохи можешь покупать без боязни.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1487,экстрагирования миристицина из мускатных ореховрецепт в студию,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1488,говно. развариваются в кисель. хочешь дешевые нормальные макароны бери пикрелейтед.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1489,"благодаря кд выживать на одну тысячу в месяц стало намного проще. слава ашану, ашану слава. алсо, вопреки распространенному мнению, здоровая пища зачастую стоит дешевле.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1490,спредможет ты еще и маргарин жрешь.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1491,"красная цена говнище абсолютно всё, кроме сладостей. ","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1492,"такое везде можно встретить, от цены не зависит. я помню у меня пачка спагетти только появившийся бариллы в руках развалилась. массовый продукт, брак неизбежен.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1493,"покупал пару раз, вполне годно было, веток не попадалось","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1494,всю эту кулинарию заменит пара зубчиков чеснока,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1495,"хуета, можешь сначала прокалить на сковородке или пожарить в мультиварке без добавления воды пять минут и любые, самые днищенские макарохи будут крепкими и рассыпчатыми после варки.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1496,"что туда вообще кладут, рубленных собак вместе с будками. пробовал пельмешей категории г, есть можно с пивом, но xyита лютая все же.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1497,"палю годноту из линейки каждый день. слоеные язычки, лимонады, сухарики с чесноком соки норм, обычный среднесок","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1498,уже не особо нещебродски. вот поэтому она и не в тренде этого треда,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1499,"хуй знает, мясные продукты не беру в минимаркетах вообще. благо возле дома мясных лавки и овощная. в мясной можно купить котлетки или грудинку по той же цене или даже дешевле чем упакованное в пятерке","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1500," листовой не беру тк нет времени. даун, бери пакетики на али и заваривай в них листовой. твой брук бонд делается из отходов, как и кд.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1501,"наверное в том, что ты не прочитаешь мелкий шрифт на этикетках.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1502,"поясни за сорта, высший и ой это какие пизже.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1503,как нищеброды заводят себе тян. без особых трат,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1504,"аноны, не пожалейте время и сходите на оптовку за большой пачкой макарох очень выгодно и вкусно.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1505,"отличимо, макароны только макфа или шебекино. хотя один хуй промывать иначе слимаются. мясо в пельменях категории ч проиграно, ел пельмешки рублевские категории в, обплевался.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1506,"макароны с хуйцами норм. месяц делаю, зависимость есть","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1507,"так, тред не читал. аноны, подскажите магазины, где не требуют паспорт, когда покупаешь сигареты.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1508,а че мелочиться. сразу на фабрику за вагоном.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1509,тред как сэкономить на еде а потом эти ребята мне в личку стучат и знакомится пытаются. ,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1510,они из муки самого низшего сорта просто говно. не бери,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1511,лучше найти ближайший фикс прайс и взять бариллу,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1512,"еще масло сливочное, которое не продукт сливочно растительный, и не растительно сливочный.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1513,хоть один ценитель нашелся. чаю тебе.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1514,"ну да, белокочерыжная капуста, например и другие хреноцветные","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1515,"высший вроде как очищен от всяких отрубей и прочей шелухи чисто клейковина. сорт тупо перемололи целые зерна, ничего не отделяя.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1516,"нет, но пироги пару раз на маргарине готовил. вот я даже яичницу на сливочном делаю, и проблем не знаю, и радуюсь жизни. и ты так делай.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1517,"че не будет завтра чтоли. вот сраная привычка закупаться впрок, лучше купить немного, но свежего, нееееееет надо кукпить дохуя.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1518,"как жарить пельмени, чтобы не липли к сковороде и не рвались. у меня моментально пригорают.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1519,тащемта есть и оттуда и оттуда. только в начале маст гоу дипер,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1520,"мне стоит улыбнуться и ты уже побежишь в ашан за новыми прокладками каждый день, ибо те что сейчас у тебя в трусах промокнут, хоть выжимай.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1521,эти ребята недопустимо грубое обобщение.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1522,"сливочное горит, я в последнее время стал жарить на оливковом, не горит вообще и легче переваривается. берут с хозяина пример.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1523,"блджад упаковки хватает на неделю, а то и две. или ты сразу всю ешь.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1524,"лучше купить немного, но свежего ","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1525,нахуй терять время на покупку макарон каждую неделю.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1526,"не правда, акций на свои марки не бывает никогда","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1527,"нет. если их выжать, то получаеться водка кд.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1528,"анон кулинар, такой вопрос. если я сейчас замаринкю свиную шейку в маринаде из лука, аджики и чуть винного уксуса, сколько мариновать нужно. сутки не дохуя.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1529,"вари макарон, грей сковорд, лей масл, режь чеснок, жарь","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1530,"не забудь только старую сумку на колесиках и расталкивая всех завалиться в автобус, мразь.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1531,"хз за каждый день, но когда с деньгами мммаксимум хуево было полтора года назад, покупал замороженные блинчики с мясом местной аналогичной сети. блины здоровенные по сравнению с обычными морозко!","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1532,"мой голодающий внутренний хипстовеган говорит, что цельнозерновой помол збс, там все витамины.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1533,"хватает на неделю, а то и две","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1534,"вот тебе гайд. разморозь. хоть немного. совсем дубовые точно пригорят. дай маслу разогреться чтобы не липли, ставь слабенький огонек. слегка подрумянь с одной стороны, затем переверни каждый. ","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1535,полкило спрессованной муки на две недели,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1536,"пьется легче, с утра башка не болит, а то самое охуенное похмелье, после которого можно вкатываться во второй день пьянства. но на самом деле если ты молодой и здоровый кабан, то ты рили не заметишь.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1537,жарить пельмени жарить макароны на сливочном масле,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1538,"только вкатился в тред, какие тренды. ","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1539,вываливать слипшиеся макароны на сковроду,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1540,"воды то зачем. плохо хрустеть будут, а это самая суть","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1541,"нищуки самоутверждаются на сосаке, ору с подобных тредов.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1542,зачем в пятерке продают коренья имбиря.,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1543,ну просто рили после начинают всплывать болячки. ,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1544,свари обжар второй вариант обжарь на масле до корочки залей кипятком до середины потуши три минуты,"каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",1
1545,"вспоминается школьник, создавший тред о летней милфе","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1546,"судя по тому, сколько эта фотка гуляет по двачам, сейчас у неё уже трое детей.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
1547,"там вообще есть чтото, кроме жвачек.","каждый день, красная цена, правильный выбор - проясняем по хардкору за нище продукты, палим годноту. пельмени невыносимо хуевые, даже жареные. чай говно с красителем, беру брук бонд пакетиками.",0
